(233, 1308.3499999999999)
(236, 9373.1000000000004)
(235, 1895.0)
(234, 243853.35000000001)
(237, 97830.0)
(238, 18030519.800000001)
(239, 26405.939999999999)
(240, 3762.5)
(241, 70191.0)
(242, 19133.299999999999)
(243, 51001.709999999999)
(244, 193390.0)
(245, 1118.1700000000001)
(246, 4867.3999999999996)
(250, 59410.079999999994)
(247, 23690205.100000001)
(248, 22543.98)
(249, 70652.37000000001)
(251, 1477.75)
(253, 76634.800000000017)
(252, 98735.5)
(254, 296594.96000000002)
(255, 713295.81000000006)
(257, 101988.73000000001)
(256, 37624.200000000004)
(258, 13242.200000000001)
(259, 75817.960000000006)
(260, 5343.5)
(261, 16021.699999999999)
(265, 86831.029999999999)
(262, 170739551.86000001)
(263, 333636.17999999999)
(264, 4696.6599999999999)
(267, 104669.45)
(266, 306459.71999999997)
(268, 95188.25)
(269, 205.5)
(270, 2359.2200000000003)
(273, 1805.3)
(272, 1962081.46)
(271, 833877.09000000008)
(274, 74108.0)
(275, 65009.950000000004)
(277, 178964.91)
(276, 17179.260000000002)
(279, 939.00000000000011)
(280, 242016.09)
(278, 267402.01000000001)
(281, 11802.349999999999)
(283, 48274.739999999998)
(282, 122778.84)
(284, 207168.79999999999)
(285, 19196.59)
(288, 147296.5)
(286, 30123.310000000001)
(287, 3475.5)
(289, 48183.149999999994)
(290, 45136.199999999997)
(293, 113990.0)
(291, 798420.39999999991)
(294, 70361.580000000016)
(292, 9917.5499999999993)
(295, 31108.200000000001)
(296, 85324.149999999994)
(297, 6760.7600000000002)
(298, 70101.0)
(299, 274132.41999999998)
(300, 444705.24000000005)
(302, 11043.25)
(303, 59322.599999999991)
(301, 22493.220000000001)
(306, 189072.09)
(307, 12972.629999999999)
(305, 76345.0)
(304, 2169.25)
(309, 56976.039999999994)
(310, 747370.5)
(308, 252789.47)
(311, 287760.62)
(312, 22269.0)
(313, 9535.1000000000004)
(314, 373448.04999999999)
(315, 1013248.25)
(316, 179658.20000000001)
(319, 171511.44)
(320, 758286.52000000002)
(317, 20659.099999999999)
(318, 19262.25)
(321, 205370.40000000002)
(322, 2988908.2000000002)
(324, 28793.039999999997)
(323, 10018.0)
(326, 761455.52000000002)
(325, 7394.9999999999991)
(327, 330760.75)
(329, 89677.089999999997)
(328, 147309.70000000001)
(330, 2711015.2199999997)
(331, 64239.080000000002)
(333, 23263.080000000002)
(335, 511498.29999999999)
(332, 40549.300000000003)
(334, 43061.0)
(336, 133459.75)
(337, 858832.84999999998)
(338, 17799.34)
(340, 14092.459999999999)
